"","ADPF","Ajuizamento","Assunto"
"26",586,"23/05/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Atos Administrativos | Licenças | Registro / Porte de arma de fogo"
"27",587,"27/05/2019","DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução de Sentença | Precatório"
"28",588,"28/05/2019","DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução | Penhora / Depósito/ Avaliação 
                        
                            DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução de Sentença | Precatório"
"29",589,"28/05/2019","DIREITO PREVIDENCIÁRIO | Benefícios em Espécie
                        
                            DIREITO DO CONSUMIDOR | Contratos de Consumo | Bancários | Empréstimo consignado"
"30",590,"12/06/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Agentes Políticos | Parlamentares | Aposentadoria / Pensão Especial"
"31",591,"12/06/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Agentes Políticos | Magistratura | Violação Prerrogativa Advogado
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Garantias Constitucionais
                        
                            DIREITO CIVIL | Família | Alimentos"
"32",592,"14/06/2019","DIREITO AMBIENTAL"
"33",593,"18/06/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Organização Político-administrativa / Administração Pública | Tribunal de Contas"
"34",594,"18/06/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"35",595,"19/06/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Orçamento
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Ensino Superior
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"36",596,"21/06/2019","DIREITO PROCESSUAL CIVIL E DO TRABALHO | Partes e Procuradores | Sucumbência  | Honorários Advocatícios
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Categorias Especiais de Servidor Público | Procuradores de Órgãos / Entidades Públicos
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"37",597,"24/06/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Categorias Especiais de Servidor Público | Procuradores de Órgãos / Entidades Públicos
                        
                            DIREITO PROCESSUAL CIVIL E DO TRABALHO | Partes e Procuradores | Sucumbência  | Honorários Advocatícios"
"38",598,"27/06/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Categorias Especiais de Servidor Público | Procuradores de Órgãos / Entidades Públicos
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO PROCESSUAL CIVIL E DO TRABALHO | Partes e Procuradores | Sucumbência  | Honorários Advocatícios"
"39",599,"28/06/2019","DIREITO AMBIENTAL | Agrotóxicos"
"40",600,"10/07/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Ensino Fundamental e Médio
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Garantias Constitucionais"
"41",601,"11/07/2019","DIREITO PROCESSUAL PENAL | Investigação Penal"
"42",602,"22/07/2019","DIREITO PROCESSUAL PENAL | Investigação Penal | Quebra do Sigilo Bancário
                        
                            DIREITO PROCESSUAL PENAL | Ação Penal | Provas
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"43",603,"25/07/2019","DIREITO ELEITORAL | Eleições | Candidatos |Registro de Candidatura"
"44",604,"26/07/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Processo Administrativo Disciplinar ou Sindicância"
"45",605,"29/07/2019","DIREITO PROCESSUAL PENAL | Investigação Penal
                        
                            DIREITO PROCESSUAL PENAL | Ação Penal | Provas"
"46",606,"29/07/2019","DIREITO DO TRABALHO | Contrato Individual de Trabalho | Reconhecimento de Relação de Emprego"
"47",607,"31/07/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Organização Político-administrativa / Administração Pública | Criação / Extinção / Reestruturação de Orgãos ou Cargos Públicos"
"48",608,"02/08/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Sistema Remuneratório e Benefícios | Adicional por Tempo de Serviço
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"49",609,"06/08/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Agentes Políticos"
"50",610,"13/08/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO DO CONSUMIDOR"
"51",611,"15/08/2019","DIREITO PROCESSUAL PENAL | Ação Penal | Provas | Prova Ilícita"
"52",612,"19/08/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO PROCESSUAL CIVIL E DO TRABALHO | Formação, Suspensão e Extinção do Processo | Suspensão do Processo"
"53",613,"19/08/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Ensino Fundamental e Médio
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Garantias Constitucionais"
"54",614,"27/08/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Organização Político-administrativa / Administração Pública"
"55",615,"28/08/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Sistema Remuneratório e Benefícios | Gratificações Por Atividades Específicas"
"56",616,"02/09/2019","DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução de Sentença | Precatório 
                        
                            DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Domínio Público | Bens Públicos | Bloqueio de Valores de Contas Públicas"
"57",617,"09/09/2019","DIREITO AMBIENTAL | Revogação/Concessão de Licença Ambiental"
"58",618,"09/09/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Garantias Constitucionais
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Saúde | Tratamento Médico-Hospitalar"
"59",619,"12/09/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO INTERNACIONAL | Estrangeiro | Admissão / Entrada / Permanência / Saída"
"60",620,"13/09/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Domínio Público | Bens Públicos | Bloqueio de Valores de Contas Públicas"
"61",621,"16/09/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Regime Estatutário | Nepotismo"
"62",622,"16/09/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"63",623,"16/09/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"64",624,"17/09/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Ensino Fundamental e Médio
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Serviços | Ensino Superior"
"65",625,"04/10/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Domínio Público | Bens Públicos | Bloqueio de Valores de Contas Públicas
                        
                            DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução | Requisição de Pequeno Valor - RPV"
"66",626,"07/10/2019","DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução | Requisição de Pequeno Valor - RPV
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Domínio Público | Bens Públicos | Bloqueio de Valores de Contas Públicas"
"67",627,"15/10/2019","DIREITO CIVIL | Empresas"
"68",628,"16/10/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Orçamento | Repasse de Duodécimos"
"69",629,"18/10/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Domínio Público | Terras Indígenas"
"70",630,"23/10/2019","DIREITO TRIBUTÁRIO | Regimes Especiais de Tributação"
"71",631,"30/10/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"72",632,"12/11/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"73",633,"18/11/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"74",634,"19/11/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"75",635,"20/11/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO"
"76",636,"26/11/2019","DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução de Sentença | Precatório  | Sequestro de Verbas Públicas"
"77",637,"13/12/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade | Processo Legislativo"
